unit_id,year,code,credential_level,program_completers,program_completers_log,program_completer_share_within_school,instruction_salary_pct,academic_support_salary_pct,student_services_salary_pct,research_salary_pct,no_ap_credit,study_abroad,career_counseling,employment_services,placement_services,instruction_expense_pct,research_expense_pct,student_service_expense_pct,endowment_per_fte,equity_ratio,staff_per_student,instructional_fte_per_student,irps_fte_per_student,instructional_share_of_staff,research_share_of_staff,instructional_staff_total,instructional_staff_short_contract,instructional_staff_long_contract,instructional_staff_long_contract_share,instructional_staff_short_contract_share
132851,2020,1102,1,4,1.6094379124341003,0.001223615784643622,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,1105,1,60,4.110873864173311,0.01835423676965433,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,1108,1,4,1.6094379124341003,0.001223615784643622,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,1108,2,6,1.9459101490553132,0.0018354236769654328,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,1110,1,30,3.4339872044851463,0.009177118384827165,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,1312,2,9,2.302585092994046,0.0027531355154481493,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,1312,3,14,2.70805020110221,0.004282655246252677,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,1500,1,20,3.044522437723423,0.0061180789232181095,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,1500,2,8,2.1972245773362196,0.002447231569287244,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
132851,2020,1504,1,16,2.833213344056216,0.004894463138574488,,,,,0.0,0.0,1.0,1.0,1.0,34.0,0.0,9.0,14949.0,76.0,0.05127385140176954,0.018761326084639166,0.018761326084639166,0.3659043659043659,0.0,246.0,0.0,246.0,1.0,0.0
