"unitid","institution name","year","DRVF2020.Instruction expenses as a percent of total core expenses (GASB)","DRVF2020.Research expenses as a percent of total core expenses (GASB)","DRVF2020.Student service expenses as a percent of total core expenses (GASB)","DRVF2020.Endowment assets (year end) per FTE enrollment (GASB)","DRVF2020.Equity ratio (GASB)"
"134608","Indian River State College","2020","39","0","13","2457","75"
"134714","International Academy","2020",,,,,
"134945","Jacksonville University","2020",,,,,
"135081","Keiser University-Ft Lauderdale","2020",,,,,
"135142","La Belle Beauty School","2020",,,,,
"135160","Florida Gateway College","2020","36","0","12","5140","59"
"135179","Lake Technical College","2020","59","0","8",,
"135188","Lake-Sumter State College","2020","28","0","13","3303","80"
"135267","Fort Myers Technical College","2020","61","0","3",,
"135276","Lively Technical College","2020","58","0","10",,
"135294","Lindsey Hopkins Technical College","2020","58","0","15",,
"135337","Loraines Academy & Spa","2020",,,,,
"135391","State College of Florida-Manatee-Sarasota","2020","37","0","11","6400","79"
"135407","Manatee Technical College","2020","69","0","10",,
"135522","Traviss Technical College","2020","73","0","1",,
"135559","Merryfield Academy","2020",,,,,
"135610","Trinity International University-Florida","2020",,,,,
"135647","Miami Lakes Educational Center and Technical College","2020","46","0","0",,
"135717","Miami Dade College","2020","36","0","10","4670","83"
"135726","University of Miami","2020",,,,,
"135735","Orange Technical College-South Campus","2020","58","0","4",,
"136109","Paul Mitchell the School-Jacksonville","2020",,,,,
"136145","North Florida College","2020","32","0","13","3565","78"
"136172","University of North Florida","2020","36","4","7","7562","37"
"136215","Nova Southeastern University","2020",,,,,
"136233","Northwest Florida State College","2020","40","0","10","9065","73"
"136303","Orange Technical College","2020","49","0","8",,
"136330","Palm Beach Atlantic University","2020",,,,,
"136358","Palm Beach State College","2020","38","0","15","960","72"
"136400","Pasco-Hernando State College","2020","34","0","15","7132","84"
"136473","Pensacola State College","2020","32","0","11","1623","63"
"136491","Pinellas Technical College-Clearwater","2020","56","0","8",,
"136516","Polk State College","2020","38","0","11","4223","72"
"136659","Radford M Locklin Technical College","2020","43","0","22",,
"136701","Saint Vincent de Paul Regional Seminary","2020",,,,,
"136765","Ridge Technical College","2020","70","0","2",,
"136774","Ringling College of Art and Design","2020",,,,,
"136826","Robert Morgan Educational Center and Technical College","2020","95","0","0",,
"136950","Rollins College","2020",,,,,
"137023","First Coast Technical College","2020","38","0","16",,
"137032","Saint Leo University","2020",,,,,
"137078","St Petersburg College","2020","35","0","13","1702","58"
"137087","Pinellas Technical College-St. Petersburg","2020","58","0","6",,
"137096","Santa Fe College","2020","38","0","13","3199","41"
"137120","Suncoast Technical College","2020","40","0","6",,
"137209","Seminole State College of Florida","2020","39","0","13","1061","76"
"137245","Sheridan Technical College","2020","49","0","6",,
"137272","St. John Vianney College Seminary","2020",,,,,
"137281","Saint Johns River State College","2020","38","0","12","647","74"
"137315","South Florida State College","2020","40","0","16","6758","73"
"137351","University of South Florida","2020","31","25","5","12079","37"
"137476","St. Thomas University","2020",,,,,
"137546","Stetson University","2020",,,,,
"137564","Southeastern University","2020",,,,,
"137591","Bene's Career Academy","2020",,,,,
"137713","Riveroak Technical College","2020","70","0","3",,
"137759","Tallahassee Community College","2020","36","0","10","1259","58"
"137777","Talmudic College of Florida","2020",,,,,
"137847","The University of Tampa","2020",,,,,
"137856","Big Bend Technical College","2020","77","0","9",,
"137865","Tom P. Haney Technical College","2020","52","2","18",,
"137953","Trinity Baptist College","2020",,,,,
"137962","Trinity College of Florida","2020",,,,,
"138187","Valencia College","2020","36","0","14","2069","66"
"138275","Warner University","2020",,,,,
"138284","Florida Panhandle Technical College","2020","55","0","11",,
"138293","Webber International University","2020",,,,,
"138309","Rasmussen University-Florida","2020",,,,,
