"unitid","institution name","year","DRVF2024.Salaries and wages for instruction as a percent of total expenses for instruction (GASB)","DRVF2024.Salaries and wages for research as a percent of total expenses for research (GASB)","DRVF2024.Salaries and wages for academic support as a percent of total expenses for academic support (GASB)","DRVF2024.Salaries and wages for student services as a percent of total expenses for student services (GASB)"
"134237","Full Sail University","2024",,,,
"134291","George Stone Technical College","2024","47",,"94","74"
"134307","George T Baker Aviation Technical College","2024","72",,"72","73"
"134343","Gulf Coast State College","2024","50",,"47","45"
"134422","Key College","2024",,,,
"134495","Hillsborough Community College","2024","63",,"46","46"
"134510","Hobe Sound Bible College","2024",,,,
"134529","Hollywood Institute of Beauty Careers","2024",,,,
"134574","Cortiva Institute","2024",,,,
"134608","Indian River State College","2024","51",,"43","38"
"134714","International Academy","2024",,,,
"134945","Jacksonville University","2024",,,,
"135081","Keiser University-Ft Lauderdale","2024",,,,
"135142","La Belle Beauty School","2024",,,,
"135160","Florida Gateway College","2024","50",,"41","40"
"135179","Lake Technical College","2024","29",,"48","52"
"135188","Lake-Sumter State College","2024","57",,"38","50"
"135267","Fort Myers Technical College","2024","31",,"71","75"
"135276","Lively Technical College","2024","75",,"77","75"
"135294","Lindsey Hopkins Technical College","2024","80",,"80","80"
"135337","Loraines Academy & Spa","2024",,,,
"135391","State College of Florida-Manatee-Sarasota","2024","34",,"28","39"
"135407","Manatee Technical College","2024","53",,"72","73"
"135522","Traviss Technical College","2024","70",,"70","67"
"135559","Merryfield Academy","2024",,,,
"135610","Trinity International University-Florida","2024",,,,
"135647","Miami Lakes Educational Center and Technical College","2024","25",,"25","25"
"135717","Miami Dade College","2024","61",,"61","61"
"135726","University of Miami","2024",,,,
"135735","Orange Technical College-South Campus","2024","73",,"74","95"
"136109","Paul Mitchell the School-Jacksonville","2024",,,,
"136145","North Florida College","2024","48",,"32","44"
"136172","University of North Florida","2024","53","44","44","44"
"136215","Nova Southeastern University","2024",,,,
"136233","Northwest Florida State College","2024","41",,"49","41"
"136303","Orange Technical College","2024","74",,"72","68"
"136330","Palm Beach Atlantic University","2024",,,,
"136358","Palm Beach State College","2024","72",,"66","64"
"136400","Pasco-Hernando State College","2024","41",,"37","39"
"136473","Pensacola State College","2024","44",,"37","40"
"136491","Pinellas Technical College-Clearwater","2024","60",,,"71"
"136516","Polk State College","2024","55",,"47","65"
"136659","Radford M Locklin Technical College","2024","59",,"2","69"
"136701","Saint Vincent de Paul Regional Seminary","2024",,,,
"136765","Ridge Technical College","2024","72",,"75","55"
"136774","Ringling College of Art and Design","2024",,,,
"136826","Robert Morgan Educational Center and Technical College","2024","80",,,
"136950","Rollins College","2024",,,,
"137023","First Coast Technical College","2024","53",,,"73"
"137032","Saint Leo University","2024",,,,
"137078","St Petersburg College","2024","61",,"36","51"
"137087","Pinellas Technical College-St. Petersburg","2024","81",,"82","81"
"137096","Santa Fe College","2024","65",,"44","49"
"137120","Suncoast Technical College","2024","63",,"71","72"
"137209","Seminole State College of Florida","2024","56",,"30","52"
"137245","Sheridan Technical College","2024","100",,"100","100"
"137272","St. John Vianney College Seminary","2024",,,,
"137281","Saint Johns River State College","2024","58",,"59","52"
"137315","South Florida State College","2024","48",,"43","29"
"137351","University of South Florida","2024","65","37","54","53"
"137476","St. Thomas University","2024",,,,
"137546","Stetson University","2024",,,,
"137564","Southeastern University","2024",,,,
"137591","Bene's Career Academy","2024",,,,
"137713","Riveroak Technical College","2024","57",,,"72"
"137759","Tallahassee Community College","2024","52",,"52","52"
"137777","Talmudic College of Florida","2024",,,,
"137847","The University of Tampa","2024",,,,
"137856","Big Bend Technical College","2024","60",,,"100"
"137865","Tom P. Haney Technical College","2024","75","98",,"75"
"137953","Trinity Baptist College","2024",,,,
"137962","Trinity College of Florida","2024",,,,
"138187","Valencia College","2024","63",,"49","50"
"138275","Warner University","2024",,,,
"138284","Florida Panhandle Technical College","2024","59",,"35","60"
"138293","Webber International University","2024",,,,
"138309","Rasmussen University-Florida","2024",,,,
"138354","University of West Florida","2024","70","22","46","58"
"138372","Orange Technical College-West Campus","2024","72",,"73","50"
"138479","William T McFatter Technical College","2024","100",,"100","100"
"138488","Orange Technical College-East Campus","2024","83",,"83","86"
"138497","Withlacoochee Technical College","2024","32",,"43","59"
"186274","Robert Fiance Beauty Schools","2024",,,,
"244233","City College-Hollywood","2024",,,,
"244279","Meridian College","2024",,,,
"262129","New College of Florida","2024","63","50","22","48"
"362700","Aveda Institute-Fort Myers","2024",,,,
"363712","Yeshivah Gedolah Rabbinical College","2024",,,,
"366003","South Florida Bible College and Theological Seminary","2024",,,,
"366553","Southern Technical College","2024",,,,
"367875","H W Brewster Technical College","2024","76",,"32","77"
"367884","Hodges University","2024",,,,
"369400","Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando","2024",,,,
"369419","Erwin Technical College","2024","99",,"98","99"
"372462","Academy of Cosmetology","2024",,,,
"378886","Artistic Nails and Beauty Academy-Tampa","2024",,,,
"378956","National Aviation Academy of Tampa Bay","2024",,,,
"383163","La Belle Beauty Academy","2024",,,,
"384254","Beacon College","2024",,,,
"385132","The Salon Professional Academy-Melbourne","2024",,,,
"385619","Everglades University","2024",,,,
"386472","Herzing University-Orlando","2024",,,,
"387925","Cortiva Institute","2024",,,,
"404338","Schiller International University","2024",,,,
"406024","Galen College of Nursing-Tampa Bay","2024",,,,
"406149","Sarasota School of Massage Therapy","2024",,,,
"408844","Florida National University-Main Campus","2024",,,,
"409032","Nouvelle Institute","2024",,,,
"412173","Academy for Nursing and Health Occupations","2024",,,,
"417327","City College-Altamonte Springs","2024",,,,
"419217","HCA Florida Mercy Hospital School of Practical Nursing","2024",,,,
"419226","Marion Technical College","2024","51",,"50","71"
"423120","Compu-Med Vocational Careers Corp","2024",,,,
"426314","Embry-Riddle Aeronautical University-Worldwide","2024",,,,
"427991","Osceola Technical College","2024","38",,"71","73"
"428000","Miami Ad School","2024",,,,
"428170","Southeastern College-West Palm Beach","2024",,,,
"430582","Praxis Institute","2024",,,,
"431558","Cape Coral Technical College","2024","53",,"71","73"
"433068","Okaloosa Technical College","2024","60",,"34","70"
"433660","Florida Gulf Coast University","2024","63","38","46","55"
"434441","Florida College of Integrative Medicine","2024",,,,
"434469","New Professions Technical Institute","2024",,,,
"438285","Cortiva Institute","2024",,,,
"439394","East West College of Natural Medicine","2024",,,,
"439446","Atlantic Institute of Oriental Medicine","2024",,,,
"439686","International Training Careers","2024",,,,
"439774","New Concept Massage and Beauty School","2024",,,,
"439792","Fortis College-Orange Park","2024",,,,
"439969","Acupuncture and Massage College","2024",,,,
"441371","Ultimate Medical Academy","2024",,,,
"441380","Florida Barber Academy","2024",,,,
"441414","M-DCPS The English Center","2024","74",,"66","57"
"441423","Florida Education Institute","2024",,,,
"442295","Ave Maria School of Law","2024",,,,
"442329","Tulsa Welding School-Jacksonville","2024",,,,
"443234","Hollywood Institute","2024",,,,
"443252","South Florida Institute of Technology","2024",,,,
"444334","Advance Science International College","2024",,,,
"444370","American Advanced Technicians Institute","2024",,,,
"444404","The Beauty Institute","2024",,,,
"445212","Paul Mitchell the School-Orlando","2024",,,,
"445744","Fortis Institute-Port Saint Lucie","2024",,,,
"446048","Ave Maria University","2024",,,,
"446109","Cambridge College of Healthcare & Technology","2024",,,,
"446127","ATA Career Education","2024",,,,
"446552","Southern Technical College","2024",,,,
"447014","Daytona College","2024",,,,
"447847","Aviator College of Aeronautical Science and Technology","2024",,,,
"447865","Trendsetters School of Beauty & Barbering","2024",,,,
"447883","American Institute of Beauty","2024",,,,
"447892","North Florida Cosmetology Institute","2024",,,,
"447908","Florida Academy of Health & Beauty","2024",,,,
"449038","Strayer University-Florida","2024",,,,
"449083","CBT Technology Institute-Main Campus","2024",,,,
"449092","CBT Technology Institute-Hialeah","2024",,,,
"449481","Dragon Rises College of Oriental Medicine","2024",,,,
"449490","Palm Beach Academy of Health & Beauty","2024",,,,
"449506","SABER College","2024",,,,
"449524","Taylor College","2024",,,,
"449533","Pensacola School of Massage Therapy & Health Careers","2024",,,,
"449898","South University-Tampa","2024",,,,
"449959","Paul Mitchell the School-Tampa","2024",,,,
"451079","Academy for Five Element Acupuncture","2024",,,,
"451097","Academy of Career Training","2024",,,,
"451103","Miami Regional University","2024",,,,
"451121","Paul Mitchell the School-Miami","2024",,,,
"451149","Aveda Institute-South Florida","2024",,,,
"451158","Aveda Institute-Tallahassee","2024",,,,
"451167","Shear Excellence Hair Academy","2024",,,,
"454865","Cambridge College of Healthcare & Technology","2024",,,,
"454874","Cozmo Beauty School","2024",,,,
"454917","Celebrity School of Beauty","2024",,,,
"455479","Fortis Institute-Pensacola","2024",,,,
"455831","Medical Institute of Palm Beach","2024",,,,
"456481","Polytechnic University of Puerto Rico-Miami","2024",,,,
"456490","Polytechnic University of Puerto Rico-Orlando","2024",,,,
"456977","CBT Technology Institute-Cutler Bay","2024",,,,
"457129","Chamberlain University-Florida","2024",,,,
"457350","Florida School of Traditional Midwifery","2024",,,,
"457378","Emerald Coast Technical College","2024","55",,"73","78"
"457387","Immokalee Technical College","2024","66",,"100","100"
"457396","American Academy of Cosmetology","2024",,,,
"457402","University of Fort Lauderdale","2024",,,,
"457411","Aviation Institute of Maintenance-Orlando","2024",,,,
"457420","Summit Salon Academy","2024",,,,
"457439","Summit Salon Academy-Gainesville","2024",,,,
"457448","Tenaj Salon Institute","2024",,,,
"459055","Empire Beauty School-West Palm","2024",,,,
"459329","Fred K Marchman Technical College","2024","66",,"74","70"
"459347","The Salon Professional Academy-Ft Myers","2024",,,,
"460190","Concorde Career Institute-Orlando","2024",,,,
"460701","Artistic Nails and Beauty Academy-Lakeland","2024",,,,
"460969","Beauty Academy of South Florida","2024",,,,
"461245","Flagler Technical College","2024","58",,"71","73"
"461281","Jose Maria Vargas University","2024",,,,
"461306","D A Dorsey Technical College","2024","71",,"73","69"
"461883","Millennia Atlantic University","2024",,,,
"462035","Florida Academy","2024",,,,
"475477","City College-Hollywood","2024",,,,
"475547","Paul Mitchell the School-Fort Myers","2024",,,,
"475714","American Medical Academy","2024",,,,
"476063","Tulsa Welding School-Jacksonville","2024",,,,
"476498","Futura Career Institute","2024",,,,
"476814","Florida Institute of Recording Sound and Technology","2024",,,,
"476939","FVI School of Nursing and Technology","2024",,,,
"480569","Florida Institute of Technology-Online","2024",,,,
"480842","Shear Finesse Beauty Academy","2024",,,,
"480851","Miami Media School","2024",,,,
"481252","Ultrasound Medical Institute","2024",,,,
"481313","Kaizen Beauty Academy","2024",,,,
"481368","Prestige Health & Beauty Sciences Academy","2024",,,,
"481483","Boca Beauty Academy","2024",,,,
"482459","DeVry University-Florida","2024",,,,
"482936","Florida Polytechnic University","2024","62","49","46","42"
"483470","More Tech Institute","2024",,,,
"483595","Ana G. Mendez University","2024",,,,
"483869","InterAmerican Technical Institute","2024",,,,
"483896","Parisian Spa Institute","2024",,,,
"484075","First Coast Barber Academy","2024",,,,
"484172","Lee Professional Institute","2024",,,,
"484473","University of Florida-Online","2024","58",,"63","36"
"485272","West Coast University-Miami","2024",,,,
"485342","Aparicio-Levy Technical College","2024","80",,,"74"
"485379","Hollywood Institute of Beauty Careers-West Palm Beach","2024",,,,
"485388","Hollywood Institute of Beauty Careers-Casselberry","2024",,,,
"485485","Latin Beauty Academy","2024",,,,
"485768","Atlantis University","2024",,,,
"486150","Treasure Coast Technical College","2024","37",,,"73"
"486239","San Ignacio University","2024",,,,
"486354","United International College","2024",,,,
"486512","Florida International Training Institute","2024",,,,
"487311","Jones Technical Institute","2024",,,,
"487384","Florida Career College-Pembroke Pines","2024",,,,
"487393","Florida Career College-West Palm Beach","2024",,,,
"487409","Florida Career College-Hialeah","2024",,,,
"487418","Florida Career College-Lauderdale Lakes","2024",,,,
"487436","Florida Career College-Jacksonville","2024",,,,
"487445","Florida Career College-Boynton Beach","2024",,,,
"487454","Florida Career College-Margate","2024",,,,
"487472","Florida Career College-Orlando","2024",,,,
"488059","Med College","2024",,,,
"488147","PiBerry Institute","2024",,,,
"488226","Center for Neurosomatic Studies","2024",,,,
"488280","National Personal Training Institute","2024",,,,
"488332","Hope College of Arts and Sciences","2024",,,,
"488891","South Dade Technical College-South Dade Skills Center Campus","2024","74",,,"72"
"489238","Boca Beauty Academy-Parkland","2024",,,,
"490018","National Personal Training Institute-Tampa","2024",,,,
"490054","HCI College","2024",,,,
"490090","Gadsden Technical College","2024","100",,,"100"
"490142","World Class Academy of Beauty Careers","2024",,,,
"490391","American Beauty Schools","2024",,,,
"490975","Fortis College-Cutler Bay","2024",,,,
"491136","Empire Beauty School-Tampa","2024",,,,
"491145","Empire Beauty School-Lakeland","2024",,,,
"491534","Pets Playground Grooming School","2024",,,,
"491747","UR Beauty & Barber Academy","2024",,,,
"491783","Wilton Simpson Technical College","2024","100",,"100",
"491932","Installer Institute","2024",,,,
"492360","The Salon Professional Academy-Delray Beach","2024",,,,
"492652","KCK Beauty & Barber Academy","2024",,,,
"492935","Global Medical & Technical Training Institute","2024",,,,
"493488","Premiere International College","2024",,,,
"493567","Bellasa Professional Institute","2024",,,,
"494597","Faith Theological Seminary and Christian College","2024",,,,
"495183","Mariano Moreno Culinary Institute","2024",,,,
"495217","Adrian H. Wallace Barber Academy","2024",,,,
"495235","Total Beauty Institute","2024",,,,
"495299","Florida Professional Institute","2024",,,,
"495369","Paul Mitchell the School-Fort Lauderdale","2024",,,,
"495420","Arizona College of Nursing-Tampa","2024",,,,
"495439","Arizona College of Nursing-Fort Lauderdale","2024",,,,
"496052","Ruben's Five Star Academy","2024",,,,
"496636","Antigua College International","2024",,,,
"496681","Florida Academy of Nursing","2024",,,,
"496973","Herzing University-Tampa","2024",,,,
"496991","Galen Health Institutes-Miami Campus","2024",,,,
"497222","Salon Professional Academy-Elevate Salon Institute","2024",,,,
"498030","Universal Technical Institute-South Florida Miramar","2024",,,,
"498076","Galen Health Institutes-Sarasota","2024",,,,
"498085","Galen Health Institutes-Gainesville","2024",,,,
"498234","Larkin University","2024",,,,
"498340","Chancellor Institute","2024",,,,
"498377","Commercial Diving Technologies Institute","2024",,,,
"498827","JT's Cuts Academy","2024",,,,
"498924","URBE University","2024",,,,
"499370","Arizona College of Nursing-Sarasota","2024",,,,
"499495","Gwinnett Institute","2024",,,,
"500005","Affinity Hair Academy","2024",,,,
"500014","ICR Florida Education","2024",,,,
"500041","Kennedy University of Baptist","2024",,,,
"500087","Doral College","2024",,,,
"500397","Aguilas International Technical Institute","2024",,,,
"500403","Miami Barber Institute","2024",,,,
"500537","UR Beauty & Barber Academy-At True Family Barber Academy","2024",,,,
