"unitid","institution name","year","DRVEF122020.Total 12-month unduplicated headcount"
"262129","New College of Florida","2020","747"
"362700","Aveda Institute-Fort Myers","2020","581"
"363712","Yeshivah Gedolah Rabbinical College","2020","31"
"366003","South Florida Bible College and Theological Seminary","2020","449"
"366553","Southern Technical College","2020","1729"
"367875","H W Brewster Technical College","2020","273"
"367884","Hodges University","2020","1307"
"369400","Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando","2020","3100"
"369419","Erwin Technical College","2020","1206"
"372462","Academy of Cosmetology","2020","221"
"378886","Artistic Nails and Beauty Academy-Tampa","2020","323"
"378956","National Aviation Academy of Tampa Bay","2020","1031"
"383163","La Belle Beauty Academy","2020","553"
"384254","Beacon College","2020","440"
"385132","The Salon Professional Academy-Melbourne","2020","246"
"385619","Everglades University","2020","2599"
"386472","Herzing University-Orlando","2020","1111"
"387925","Cortiva Institute","2020","141"
"404338","Schiller International University","2020","57"
"406024","Galen College of Nursing-Tampa Bay","2020","2474"
"406149","Sarasota School of Massage Therapy","2020","141"
"408844","Florida National University-Main Campus","2020","9332"
"409032","Nouvelle Institute","2020","312"
"412173","Academy for Nursing and Health Occupations","2020","703"
"417327","City College-Altamonte Springs","2020","345"
"419217","HCA Florida Mercy Hospital School of Practical Nursing","2020","143"
"419226","Marion Technical College","2020","667"
"423120","Compu-Med Vocational Careers Corp","2020","293"
"426314","Embry-Riddle Aeronautical University-Worldwide","2020","20829"
"427991","Osceola Technical College","2020","1083"
"428000","Miami Ad School","2020","146"
"428170","Southeastern College-West Palm Beach","2020","1203"
"430582","Praxis Institute","2020","417"
"431558","Cape Coral Technical College","2020","473"
"433068","Okaloosa Technical College","2020","512"
"433660","Florida Gulf Coast University","2020","17114"
"434441","Florida College of Integrative Medicine","2020","86"
"434469","New Professions Technical Institute","2020","101"
"438285","Cortiva Institute","2020","387"
"439394","East West College of Natural Medicine","2020","122"
"439446","Atlantic Institute of Oriental Medicine","2020","139"
"439686","International Training Careers","2020","154"
"439774","New Concept Massage and Beauty School","2020","51"
"439792","Fortis College-Orange Park","2020","601"
"439969","Acupuncture and Massage College","2020","316"
"441371","Ultimate Medical Academy","2020","21947"
"441380","Florida Barber Academy","2020","385"
"441414","M-DCPS The English Center","2020","353"
"441423","Florida Education Institute","2020","436"
"442295","Ave Maria School of Law","2020","316"
"442329","Tulsa Welding School-Jacksonville","2020","1728"
"443234","Hollywood Institute","2020","287"
"443252","South Florida Institute of Technology","2020","1408"
"444334","Advance Science International College","2020","130"
"444370","American Advanced Technicians Institute","2020","75"
"444404","The Beauty Institute","2020","35"
"445212","Paul Mitchell the School-Orlando","2020","372"
"445744","Fortis Institute-Port Saint Lucie","2020","638"
"446048","Ave Maria University","2020","1187"
"446109","Cambridge College of Healthcare & Technology","2020","565"
"446127","ATA Career Education","2020","487"
"446552","Southern Technical College","2020","2547"
"447014","Daytona College","2020","345"
"447847","Aviator College of Aeronautical Science and Technology","2020","461"
"447865","Trendsetters School of Beauty & Barbering","2020","41"
"447883","American Institute of Beauty","2020","385"
"447892","North Florida Cosmetology Institute","2020","214"
"447908","Florida Academy of Health & Beauty","2020","104"
"449038","Strayer University-Florida","2020","3286"
"449083","CBT Technology Institute-Main Campus","2020","231"
"449092","CBT Technology Institute-Hialeah","2020","216"
"449481","Dragon Rises College of Oriental Medicine","2020","42"
"449490","Palm Beach Academy of Health & Beauty","2020","219"
"449506","SABER College","2020","40"
"449524","Taylor College","2020","293"
"449533","Pensacola School of Massage Therapy & Health Careers","2020","141"
"449898","South University-Tampa","2020","1487"
"449959","Paul Mitchell the School-Tampa","2020","319"
"451079","Academy for Five Element Acupuncture","2020","109"
"451097","Academy of Career Training","2020","133"
"451103","Miami Regional University","2020","2436"
"451121","Paul Mitchell the School-Miami","2020","184"
"451149","Aveda Institute-South Florida","2020","844"
"451158","Aveda Institute-Tallahassee","2020","956"
"451167","Shear Excellence Hair Academy","2020","172"
"454865","Cambridge College of Healthcare & Technology","2020","816"
"454874","Cozmo Beauty School","2020","65"
"454917","Celebrity School of Beauty","2020","1035"
"455479","Fortis Institute-Pensacola","2020","882"
"455831","Medical Institute of Palm Beach","2020","209"
"456481","Polytechnic University of Puerto Rico-Miami","2020","204"
"456490","Polytechnic University of Puerto Rico-Orlando","2020","350"
"456977","CBT Technology Institute-Cutler Bay","2020","163"
"457129","Chamberlain University-Florida","2020","1268"
"457350","Florida School of Traditional Midwifery","2020","68"
"457378","Emerald Coast Technical College","2020","251"
"457387","Immokalee Technical College","2020","461"
"457396","American Academy of Cosmetology","2020","219"
"457402","University of Fort Lauderdale","2020","73"
"457411","Aviation Institute of Maintenance-Orlando","2020","474"
"457420","Summit Salon Academy","2020","253"
"457439","Summit Salon Academy-Gainesville","2020","125"
"457448","Tenaj Salon Institute","2020","163"
"459055","Empire Beauty School-West Palm","2020","116"
"459329","Fred K Marchman Technical College","2020","310"
"459347","The Salon Professional Academy-Ft Myers","2020","105"
"460190","Concorde Career Institute-Orlando","2020","590"
"460701","Artistic Nails and Beauty Academy-Lakeland","2020","270"
"460969","Beauty Academy of South Florida","2020","312"
"461245","Flagler Technical College","2020","215"
"461281","Jose Maria Vargas University","2020","366"
