"unitid","institution name","year","IC2020.Institution does not accept dual, credit for life, or AP credits","IC2020.Study abroad","IC2020.Academic/career counseling service","IC2020.Employment services for students","IC2020.Placement services for completers","DRVF2020.Instruction expenses as a percent of total core expenses (GASB)","DRVF2020.Research expenses as a percent of total core expenses (GASB)","DRVF2020.Student service expenses as a percent of total core expenses (GASB)","DRVF2020.Endowment assets (year end) per FTE enrollment (GASB)","DRVF2020.Equity ratio (GASB)","DRVHR2020.Total FTE staff","DRVHR2020.Instructional, research and public service FTE","DRVHR2020.Instructional FTE","DRVHR2020.Research FTE","DRVEF122020.Total 12-month unduplicated headcount"
"137023","First Coast Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","38","0","16",,,"107","41","41","0","611"
"137032","Saint Leo University","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"1043","348","348","0","18191"
"137078","St Petersburg College","2020","Implied no","Yes","Yes","Yes","Yes","35","0","13","1702","58","1716","683","683","0","37959"
"137087","Pinellas Technical College-St. Petersburg","2020","Implied no","Implied no","Yes","Yes","Yes","58","0","6",,,"130","90","90","0","1683"
"137096","Santa Fe College","2020","Implied no","Yes","Yes","Yes","Yes","38","0","13","3199","41","873","384","384","0","19449"
"137120","Suncoast Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","40","0","6",,,"231","154","154","0","2101"
"137209","Seminole State College of Florida","2020","Implied no","Yes","Yes","Yes","Yes","39","0","13","1061","76","904","346","346","0","25235"
"137245","Sheridan Technical College","2020","Implied no","Implied no","Yes","Implied no","Yes","49","0","6",,,"287","126","126","0","2093"
"137272","St. John Vianney College Seminary","2020","Implied no","Implied no","Implied no","Implied no","Implied no",,,,,,"33","7","6","1","70"
"137281","Saint Johns River State College","2020","Implied no","Implied no","Yes","Yes","Implied no","38","0","12","647","74","455","217","217","0","9709"
"137315","South Florida State College","2020","Implied no","Implied no","Yes","Yes","Yes","40","0","16","6758","73","308","93","93","0","3801"
"137351","University of South Florida","2020","Implied no","Yes","Yes","Yes","Yes","31","25","5","12079","37","8656","2674","2326","348","60343"
"137476","St. Thomas University","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"514","276","276","0","5901"
"137546","Stetson University","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"907","323","323","0","4725"
"137564","Southeastern University","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"623","232","232","0","11672"
"137591","Bene's Career Academy","2020","Yes","Implied no","Yes","Implied no","Yes",,,,,,"39","17","17","0","422"
"137713","Riveroak Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","70","0","3",,,"45","24","24","0","201"
"137759","Tallahassee Community College","2020","Implied no","Yes","Yes","Yes","Yes","36","0","10","1259","58","948","380","378","0","16528"
"137777","Talmudic College of Florida","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"44","13","9","2","33"
"137847","The University of Tampa","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"996","560","560","0","10771"
"137856","Big Bend Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","77","0","9",,,"20","11","11","0","246"
"137865","Tom P. Haney Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","52","2","18",,,"36","20","20","0","540"
"137953","Trinity Baptist College","2020","Implied no","Implied no","Yes","Yes","Implied no",,,,,,"51","20","20","0","406"
"137962","Trinity College of Florida","2020","Implied no","Implied no","Yes","Implied no","Implied no",,,,,,"44","17","16","0","249"
"138187","Valencia College","2020","Implied no","Yes","Yes","Yes","Yes","36","0","14","2069","66","2641","1096","1096","0","64593"
"138275","Warner University","2020","Implied no","Yes","Yes","Yes","Implied no",,,,,,"169","58","58","0","1192"
"138284","Florida Panhandle Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","55","0","11",,,"40","25","25","0","370"
"138293","Webber International University","2020","Implied no","Yes","Yes","Implied no","Yes",,,,,,"137","33","33","0","797"
"138309","Rasmussen University-Florida","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"709","502","502","0","15426"
"138354","University of West Florida","2020","Implied no","Yes","Yes","Yes","Yes","27","7","5","6222","37","1440","449","434","15","15944"
"138372","Orange Technical College-West Campus","2020","Implied no","Implied no","Yes","Yes","Yes","32","0","10",,,"105","60","60","0","1981"
"138479","William T McFatter Technical College","2020","Implied no","Implied no","Yes","Implied no","Yes","49","0","12",,,"173","87","87","0","1495"
"138488","Orange Technical College-East Campus","2020","Implied no","Implied no","Yes","Yes","Yes","62","0","9",,,"93","23","23","0","1974"
"138497","Withlacoochee Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","39","0","4",,,"74","40","40","0","496"
"186274","Robert Fiance Beauty Schools","2020","Yes","Implied no","Implied no","Implied no","Yes",,,,,,"22","10","10","0","154"
"244233","City College-Hollywood","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"47","24","24","0","407"
"244279","Meridian College","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"17","10","10","0","279"
