"unitid","institution name","year","DRVHR2020.Total FTE staff","DRVHR2020.Instructional, research and public service FTE","DRVHR2020.Instructional FTE","DRVHR2020.Research FTE"
"135559","Merryfield Academy","2020","8","3","3","0"
"135610","Trinity International University-Florida","2020","33","24","24","0"
"135647","Miami Lakes Educational Center and Technical College","2020","76","21","21","0"
"135717","Miami Dade College","2020","4387","1390","1390","0"
"135726","University of Miami","2020","11786","2786","1545","184"
"135735","Orange Technical College-South Campus","2020","162","85","85","0"
"136109","Paul Mitchell the School-Jacksonville","2020","16","10","10","0"
"136145","North Florida College","2020","122","34","34","0"
"136172","University of North Florida","2020","1946","659","658","1"
"136215","Nova Southeastern University","2020","3879","1212","1142","70"
"136233","Northwest Florida State College","2020","403","135","135","0"
"136303","Orange Technical College","2020","97","50","50","0"
"136330","Palm Beach Atlantic University","2020","469","218","218","0"
"136358","Palm Beach State College","2020","1470","582","582","0"
"136400","Pasco-Hernando State College","2020","561","225","225","0"
"136473","Pensacola State College","2020","627","230","230","0"
"136491","Pinellas Technical College-Clearwater","2020","101","65","65","0"
"136516","Polk State College","2020","634","224","224","0"
"136659","Radford M Locklin Technical College","2020","39","14","14","0"
"136701","Saint Vincent de Paul Regional Seminary","2020","53","17","16","0"
"136765","Ridge Technical College","2020","59","39","39","0"
"136774","Ringling College of Art and Design","2020","388","139","139","0"
"136826","Robert Morgan Educational Center and Technical College","2020","119","34","34","0"
"136950","Rollins College","2020","643","206","206","0"
"137023","First Coast Technical College","2020","107","41","41","0"
"137032","Saint Leo University","2020","1043","348","348","0"
"137078","St Petersburg College","2020","1716","683","683","0"
"137087","Pinellas Technical College-St. Petersburg","2020","130","90","90","0"
"137096","Santa Fe College","2020","873","384","384","0"
"137120","Suncoast Technical College","2020","231","154","154","0"
"137209","Seminole State College of Florida","2020","904","346","346","0"
"137245","Sheridan Technical College","2020","287","126","126","0"
"137272","St. John Vianney College Seminary","2020","33","7","6","1"
"137281","Saint Johns River State College","2020","455","217","217","0"
"137315","South Florida State College","2020","308","93","93","0"
"137351","University of South Florida","2020","8656","2674","2326","348"
"137476","St. Thomas University","2020","514","276","276","0"
"137546","Stetson University","2020","907","323","323","0"
"137564","Southeastern University","2020","623","232","232","0"
"137591","Bene's Career Academy","2020","39","17","17","0"
"137713","Riveroak Technical College","2020","45","24","24","0"
"137759","Tallahassee Community College","2020","948","380","378","0"
"137777","Talmudic College of Florida","2020","44","13","9","2"
"137847","The University of Tampa","2020","996","560","560","0"
"137856","Big Bend Technical College","2020","20","11","11","0"
"137865","Tom P. Haney Technical College","2020","36","20","20","0"
"137953","Trinity Baptist College","2020","51","20","20","0"
"137962","Trinity College of Florida","2020","44","17","16","0"
"138187","Valencia College","2020","2641","1096","1096","0"
"138275","Warner University","2020","169","58","58","0"
"138284","Florida Panhandle Technical College","2020","40","25","25","0"
"138293","Webber International University","2020","137","33","33","0"
"138309","Rasmussen University-Florida","2020","709","502","502","0"
"138354","University of West Florida","2020","1440","449","434","15"
"138372","Orange Technical College-West Campus","2020","105","60","60","0"
"138479","William T McFatter Technical College","2020","173","87","87","0"
"138488","Orange Technical College-East Campus","2020","93","23","23","0"
"138497","Withlacoochee Technical College","2020","74","40","40","0"
"186274","Robert Fiance Beauty Schools","2020","22","10","10","0"
"244233","City College-Hollywood","2020","47","24","24","0"
"244279","Meridian College","2020","17","10","10","0"
"262129","New College of Florida","2020","334","114","114","0"
"362700","Aveda Institute-Fort Myers","2020","22","9","9","0"
"363712","Yeshivah Gedolah Rabbinical College","2020","5","5","5","0"
"366003","South Florida Bible College and Theological Seminary","2020","49","20","20","0"
"366553","Southern Technical College","2020","125","72","72","0"
"367875","H W Brewster Technical College","2020","42","25","25","0"
"367884","Hodges University","2020","122","58","58","0"
"369400","Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando","2020","115","50","50","0"
"369419","Erwin Technical College","2020","72","44","44","0"
"372462","Academy of Cosmetology","2020","18","10","10","0"
"378886","Artistic Nails and Beauty Academy-Tampa","2020","13","5","5","0"
"378956","National Aviation Academy of Tampa Bay","2020","111","41","41","0"
"383163","La Belle Beauty Academy","2020","15","7","7","0"
"384254","Beacon College","2020","163","41","41","0"
"385132","The Salon Professional Academy-Melbourne","2020","19","10","10","0"
"385619","Everglades University","2020","279","124","124","0"
"386472","Herzing University-Orlando","2020","45","23","23","0"
"387925","Cortiva Institute","2020","13","4","4","0"
"404338","Schiller International University","2020","19","6","6","0"
"406024","Galen College of Nursing-Tampa Bay","2020","154","90","90","0"
"406149","Sarasota School of Massage Therapy","2020","19","12","12","0"
"408844","Florida National University-Main Campus","2020","313","121","121","0"
"409032","Nouvelle Institute","2020","28","11","11","0"
"412173","Academy for Nursing and Health Occupations","2020","36","19","19","0"
"417327","City College-Altamonte Springs","2020","23","6","6","0"
"419217","HCA Florida Mercy Hospital School of Practical Nursing","2020","13","8","8","0"
"419226","Marion Technical College","2020","131","84","84","0"
"423120","Compu-Med Vocational Careers Corp","2020","22","8","8","0"
"426314","Embry-Riddle Aeronautical University-Worldwide","2020","603","269","269","0"
"427991","Osceola Technical College","2020","98","60","60","0"
"428000","Miami Ad School","2020","5","0","0","0"
"428170","Southeastern College-West Palm Beach","2020","138","72","72","0"
"430582","Praxis Institute","2020","37","10","10","0"
"431558","Cape Coral Technical College","2020","41","19","19","0"
"433068","Okaloosa Technical College","2020","123","27","27","0"
"433660","Florida Gulf Coast University","2020","1547","600","600","0"
"434441","Florida College of Integrative Medicine","2020","25","9","6","1"
"434469","New Professions Technical Institute","2020","44","8","8","0"
"438285","Cortiva Institute","2020","19","10","10","0"
"439394","East West College of Natural Medicine","2020","14","6","6","0"
"439446","Atlantic Institute of Oriental Medicine","2020","16","6","6","0"
"439686","International Training Careers","2020","12","3","3","0"
"439774","New Concept Massage and Beauty School","2020","18","4","4","0"
"439792","Fortis College-Orange Park","2020","33","16","16","0"
"439969","Acupuncture and Massage College","2020","24","11","11","0"
"441371","Ultimate Medical Academy","2020","2082","311","311","0"
"441380","Florida Barber Academy","2020","15","5","5","0"
"441414","M-DCPS The English Center","2020","81","42","42","0"
"441423","Florida Education Institute","2020","24","8","8","0"
"442295","Ave Maria School of Law","2020","75","32","32","0"
"442329","Tulsa Welding School-Jacksonville","2020","64","24","24","0"
"443234","Hollywood Institute","2020","18","8","8","0"
"443252","South Florida Institute of Technology","2020","78","34","34","0"
"444334","Advance Science International College","2020","12","5","5","0"
"444370","American Advanced Technicians Institute","2020","12","4","4","0"
"444404","The Beauty Institute","2020","21","3","3","0"
"445212","Paul Mitchell the School-Orlando","2020","25","15","15","0"
"445744","Fortis Institute-Port Saint Lucie","2020","39","20","20","0"
"446048","Ave Maria University","2020","194","73","73","0"
"446109","Cambridge College of Healthcare & Technology","2020","34","24","24","0"
"446127","ATA Career Education","2020","26","13","13","0"
"446552","Southern Technical College","2020","163","62","62","0"
"447014","Daytona College","2020","38","18","18","0"
"447847","Aviator College of Aeronautical Science and Technology","2020","105","64","63","1"
"447865","Trendsetters School of Beauty & Barbering","2020","6","2","2","0"
"447883","American Institute of Beauty","2020","51","14","14","0"
"447892","North Florida Cosmetology Institute","2020","13","5","5","0"
"447908","Florida Academy of Health & Beauty","2020","10","4","4","0"
"449038","Strayer University-Florida","2020","55","28","28","0"
"449083","CBT Technology Institute-Main Campus","2020","18","7","7","0"
"449092","CBT Technology Institute-Hialeah","2020","18","10","10","0"
