code,title,distance,school_type,credential_level,school_name,locale,carnegie_size_setting,admission_rate_overall,median_family_income,students_with_pell_grant,open_admissions_policy,age_entry,title_iv_eligibility_type
5108,Allied Health and Medical Assisting Services.,1,Public,1,Cape Coral Technical College,12,-2,,16369.0,,1,27,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",0,Public,1,Cape Coral Technical College,12,-2,,16369.0,,1,27,1
5118,Ophthalmic and Optometric Support Services and Allied Professions.,1,Public,1,Cape Coral Technical College,12,-2,,16369.0,,1,27,1
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,Public,1,Cape Coral Technical College,12,-2,,16369.0,,1,27,1
5202,"Business Administration, Management and Operations.",0,Public,1,Cape Coral Technical College,12,-2,,16369.0,,1,27,1
5203,Accounting and Related Services.,0,Public,1,Cape Coral Technical College,12,-2,,16369.0,,1,27,1
1110,Computer/Information Technology Administration and Management.,1,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
1204,Cosmetology and Related Personal Grooming Services.,1,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
1205,Culinary Arts and Related Services.,1,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
1505,Environmental Control Technologies/Technicians.,1,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
1512,Computer Engineering Technologies/Technicians.,1,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
1517,Energy Systems Technologies/Technicians.,1,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
4602,Carpenters.,1,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
4603,Electrical and Power Transmission Installers.,1,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
4604,"Building/Construction Finishing, Management, and Inspection.",1,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",1,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
4706,Vehicle Maintenance and Repair Technologies.,1,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
4805,Precision Metal Working.,1,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
5107,Health and Medical Administrative Services.,0,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,Public,1,Okaloosa Technical College,13,-2,,18421.0,,1,28,1
0301,Natural Resources Conservation and Research.,1,Public,3,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
0301,Natural Resources Conservation and Research.,1,Public,5,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
0302,Natural Resources Management and Policy.,1,Public,3,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
0901,Communication and Media Studies.,1,Public,3,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
0907,"Radio, Television, and Digital Communication.",1,Public,3,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
1101,"Computer and Information Sciences, General.",1,Public,3,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
1108,Computer Software and Media Applications.,0,Public,3,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
1301,"Education, General.",1,Public,3,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
1301,"Education, General.",0,Public,5,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
1301,"Education, General.",1,Public,6,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
1301,"Education, General.",1,Public,8,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
1303,Curriculum and Instruction.,2,Public,5,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
1304,Educational Administration and Supervision.,1,Public,5,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
1310,Special Education and Teaching.,1,Public,3,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
1310,Special Education and Teaching.,1,Public,5,Florida Gulf Coast University,21,16,0.7675,43546.0,0.5981697171,2,21,1
