code,credential_level,unit_id,distance,school_type,5_yr_working_count,location_lat,location_lon,locale,carnegie_size_setting,admission_rate_overall,median_family_income,students_with_pell_grant,open_admissions_policy,age_entry,title_iv_eligibility_type,selectivity_bucket,5_year_earning_log,5_year_pred_log,title,school_name,5_year_earning,5_year_pred,5_year_error,4_year_earning,4_year_earning_log,4_year_pred,4_year_pred_log,4_year_error,4_yr_working_count,1_year_earning,1_year_earning_log,1_year_pred,1_year_pred_log,1_year_error,1_yr_working_count,school_count,confidence,1_year_pct_error,1_year_score,4_year_pct_error,4_year_score,5_year_pct_error,5_year_score,rank_1,rank_4,rank_5,move_1_to_4,move_4_to_5,move_1_to_5,rank_std,rank_std_pct,mean_rank_std_pct,median_score
5139,1,133155,1,Public,20.0,26.141141,-81.763568,21,-2,,20976.0,,1,25.0,1,,10.640149099927033,10.793323,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Lorenzo Walker Technical College,41779.000000000015,48694.56,-6915.558593749985,39809.99999999997,10.591873415994362,50022.566,10.82023,-10212.56640625003,16,42721.0,10.662445881599808,43013.72,10.669274,-292.71875,19.0,35,high,-0.006805241641656477,-0.00632124924993093,-0.20415918534267835,-0.18649219409647658,-0.1420191247947282,-0.13267213110446993,23.0,33.0,31.0,10.0,-2.0,8.0,5.291502622129181,0.15563243006262298,0.22613196423438403,-0.13267213110446993
5139,1,133386,1,Public,60.0,29.20278,-81.049513,13,12,,21285.0,0.8535849057,1,25.0,1,,10.714128838127134,10.756044,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Daytona State College,44987.0,46912.727,-1925.7265625,55001.00000000004,10.915106645867503,47324.02,10.764773,7676.980468750036,47,45711.99999999997,10.730116124470554,42103.266,10.647881,3608.734374999971,41.0,35,high,0.08571150768070548,0.08313590594465071,0.16222164864251673,0.15799776217952016,-0.04104912895937586,-0.0402737772701342,9.0,6.0,25.0,-3.0,19.0,16.0,10.214368964029708,0.30042261658910907,0.22613196423438403,0.08313590594465071
5139,1,133845,1,"Private, for-profit",64.0,30.23886,-81.581748,11,2,0.9404,16617.0,0.8801108801,2,27.0,1,open,10.385450631617017,10.60419,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Concorde Career Institute-Jacksonville,32384.999999999985,40303.348,-7918.347656250015,51435.00000000002,10.84807415356513,47211.64,10.762396,4223.359375000022,60,46512.99999999999,10.74748712239554,40963.617,10.62044,5549.382812499993,44.0,35,high,0.13547101534269246,0.1317174407443943,0.08945589094320998,0.08769977923233985,-0.19646873316296556,-0.19302616390576555,6.0,13.0,32.0,7.0,19.0,26.0,13.45362404707371,0.39569482491393265,0.22613196423438403,0.08769977923233985
5139,1,135160,1,Public,54.0,30.175298,-82.5679,32,9,,21618.0,0.9306451613,1,26.0,1,,10.647565461764616,10.768226,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Florida Gateway College,42089.999999999985,47487.684,-5397.683593750015,47143.999999999985,10.760962026517749,49339.082,10.806472,-2195.0820312500146,16,44489.0,10.702997246586362,37625.293,10.535432,6863.70703125,17.0,35,high,0.1824226867004254,0.16779933676460154,-0.044489721755660364,-0.04063978709078641,-0.11366491656923902,-0.11123854383659579,4.0,25.0,29.0,21.0,4.0,25.0,13.428824718989125,0.39496543291144487,0.22613196423438403,-0.04063978709078641
5139,1,135276,1,Public,55.0,30.448534,-84.339057,12,-2,,12177.0,,1,26.0,1,,10.761937284720434,10.376896,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Lively Technical College,47190.000000000015,32109.137,15080.863281250015,54385.0,10.90384365952795,44027.836,10.692577,10357.1640625,28,38712.00000000004,10.563904908473155,39322.67,10.579556,-610.6718749999636,49.0,35,high,-0.01552976554953296,-0.015149686950167772,0.23524127048176022,0.22419452430536396,0.46967513992500476,0.45986028478726354,25.0,3.0,2.0,-22.0,-1.0,-23.0,13.0,0.38235294117647056,0.22613196423438403,0.22419452430536396
5139,1,136303,1,Public,19.0,28.550422,-81.383783,11,-2,,14956.0,,1,26.0,1,,10.644710356327636,10.696216,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Orange Technical College,41969.99999999996,44188.316,-2218.3164062500364,47836.00000000001,10.775533773088698,45375.902,10.722736,2460.0976562500073,22,43001.99999999997,10.669001905221974,41059.52,10.622778,1942.480468749971,22.0,35,high,0.04730889428142402,0.04444192196791994,0.054215950078816605,0.05088843966577763,-0.050201423965912345,-0.04670743436965795,14.0,18.0,26.0,4.0,8.0,12.0,6.110100926607786,0.17970885078258195,0.22613196423438403,0.04444192196791994
5139,1,136358,1,Public,32.0,26.61256,-80.08653,21,15,,21408.0,0.9218037494,1,23.0,1,,10.83856078370965,10.889316,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Palm Beach State College,50947.99999999996,53600.605,-2652.6054687500364,57893.00000000005,10.96635175815215,52603.64,10.870541,5289.359375000051,56,44421.99999999998,10.701490121198454,43509.25,10.680729,912.7499999999782,58.0,35,high,0.02097829771830078,0.02055592645063383,0.10055120353183827,0.09841290788567467,-0.049488348975769446,-0.047560799752771665,18.0,12.0,27.0,-6.0,15.0,9.0,7.54983443527075,0.22205395397855146,0.22613196423438403,0.02055592645063383
5139,1,137245,1,Public,81.0,26.031736,-80.198024,21,-2,,16902.0,,1,28.0,1,,10.746433098184468,10.753437,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Sheridan Technical College,46464.000000000015,46790.57,-326.57031249998545,58084.99999999995,10.969662733947574,53660.336,10.8904295,4424.664062499949,73,39156.00000000002,10.575308946381321,41422.496,10.631579,-2266.496093749978,85.0,35,high,-0.05471655036481388,-0.05401052833771951,0.08245688337943885,0.08116814043749246,-0.006979404403898512,-0.006886479726449419,30.0,14.0,21.0,-16.0,7.0,-9.0,8.020806277010644,0.2359060669709013,0.22613196423438403,-0.006886479726449419
5139,1,137865,1,Public,31.0,30.203363,-85.646585,22,-2,,16344.0,,1,28.0,1,,10.729196906179045,10.626196,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Tom P. Haney Technical College,45670.0,41200.098,4469.90234375,49097.99999999996,10.801573579755436,52407.703,10.866809,-3309.7031250000364,32,38229.00000000002,10.55134966888039,39522.266,10.5846195,-1293.2656249999782,31.0,35,high,-0.03272245668481912,-0.031370212148337344,-0.06315298949671411,-0.060601513847739055,0.1084925181742117,0.10411182153506089,27.0,26.0,13.0,-1.0,-13.0,-14.0,7.810249675906654,0.2297132257619604,0.22613196423438403,-0.031370212148337344
5139,1,138284,1,Public,55.0,30.77449,-85.553345,43,-2,,15147.0,,1,25.0,1,,10.387332447970344,10.68815,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Florida Panhandle Technical College,32445.999999999996,43833.36,-11387.359375000004,39399.999999999985,10.581521095286025,43408.83,10.678418,-4008.8281250000146,60,37663.00000000001,10.53643345915528,39858.312,10.593086,-2195.3124999999927,52.0,35,high,-0.0550779087800065,-0.053819411681941105,-0.092350526336629,-0.09053758993753003,-0.25978751200836986,-0.2543587026458741,29.0,28.0,34.0,-1.0,6.0,5.0,3.2145502536643185,0.09454559569600937,0.22613196423438403,-0.09053758993753003
5139,1,138309,1,"Private, for-profit",281.0,29.175319,-82.15319,13,12,,25123.0,0.7318019398,1,30.0,1,,10.895646135639412,10.961814,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Rasmussen University-Florida,53941.000000000015,57630.883,-3689.8828124999854,58033.99999999999,10.968784324672963,55643.13,10.926714,2390.8710937499927,398,45271.00000000002,10.720421929870149,45653.0,10.728825,-381.9999999999782,288.0,35,high,-0.008367467636299437,-0.008341435161416194,0.04296794843759124,0.042874653439540056,-0.06402613724493665,-0.06382636998778426,24.0,20.0,28.0,-4.0,8.0,4.0,4.0,0.11764705882352941,0.22613196423438403,-0.008341435161416194
5139,1,138479,1,Public,57.0,26.085022,-80.232201,21,-2,,16334.0,,1,26.0,1,,10.8652295473142,10.651881,"Practical Nursing, Vocational Nursing and Nursing Assistants.",William T McFatter Technical College,52325.0,42272.043,10052.95703125,56485.99999999996,10.94174809881949,54889.08,10.91307,1596.9218749999636,33,39101.0,10.573903321093981,42254.508,10.651466,-3153.5078125,31.0,35,high,-0.07463127547227302,-0.07154716306958575,0.02909361806666276,0.027958447776847365,0.2378157364828982,0.23304791837988748,31.0,23.0,8.0,-8.0,-15.0,-23.0,11.67618659209133,0.34341725270856854,0.22613196423438403,0.027958447776847365
5139,1,244279,0,"Private, for-profit",237.0,27.380724,-82.425309,13,1,,16256.0,0.8884615385,1,27.0,1,,10.695370855832223,10.692345,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Meridian College,44151.00000000004,44017.594,133.40625000003638,63036.00000000001,11.051461270741962,52943.863,10.876987,10092.136718750007,40,54071.999999999985,10.89807177078019,42004.523,10.645533,12067.476562499985,69.0,35,high,0.2872899291538352,0.2825629376147298,0.19061957502304377,0.18464605272141685,0.0030307483584342087,0.003019223221221984,2.0,5.0,20.0,3.0,15.0,18.0,9.643650760992955,0.2836367870880281,0.22613196423438403,0.18464605272141685
5139,1,369419,1,Public,35.0,27.997242,-82.435933,11,-2,,14686.0,,1,27.0,1,,10.913250412395481,10.548881,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Erwin Technical College,54899.00000000004,38134.727,16764.273437500036,53120.99999999999,10.880327609274326,48158.742,10.782258,4962.257812499993,109,42515.00000000003,10.657612233819894,42661.848,10.66106,-146.8476562499709,110.0,35,high,-0.0034421307167285236,-0.003409261429010637,0.10303960583480495,0.10203063621616001,0.4396064938350779,0.42414451531995734,22.0,11.0,3.0,-11.0,-8.0,-19.0,9.539392014169456,0.2805703533579252,0.22613196423438403,0.10203063621616001
5139,1,386472,1,"Private, nonprofit",51.0,28.615784,-81.312669,21,6,0.942,18321.0,0.8203449578,2,31.0,1,open,11.114624632046082,10.896128,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Herzing University-Orlando,67146.0,53966.984,13179.015625,71753.00000000004,11.180984944594467,62598.375,11.044495,9154.625000000044,79,47310.00000000003,10.764476968625194,44570.066,10.704818,2739.933593750029,115.0,35,high,0.06147474784479594,0.060917419306128914,0.14624381223953567,0.14415904093802062,0.24420515205042898,0.23863514270817854,13.0,8.0,7.0,-5.0,-1.0,-6.0,3.214550253664318,0.09454559569600936,0.22613196423438403,0.14415904093802062
5139,1,406024,1,"Private, for-profit",371.0,27.865391,-82.648151,11,2,,32673.0,0.6627957932,1,30.0,1,,10.943640581631241,10.976044,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Galen College of Nursing-Tampa Bay,56593.00000000001,58456.82,-1863.8203124999927,64239.99999999997,11.070381348620643,59735.945,10.997689,4504.054687499971,565,46830.00000000004,10.754279302177588,46799.453,10.753627,30.54687500003638,375.0,35,high,0.0006527186315285897,0.0006512227963179848,0.07539940422701369,0.07529007326640691,-0.03188371010493443,-0.031811611764464634,21.0,15.0,23.0,-6.0,8.0,2.0,4.163331998932266,0.12245094114506665,0.22613196423438403,0.0006512227963179848
5139,1,412173,1,"Private, nonprofit",30.0,26.70653,-80.121497,21,2,,19834.0,0.8296703297,1,31.0,1,,10.798942723822146,10.939576,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Academy for Nursing and Health Occupations,48969.000000000044,56363.45,-7394.449218749956,42050.99999999998,10.646638446331167,59162.027,10.988035,-17111.027343750022,76,45479.99999999999,10.725027947864472,43811.586,10.687654,1668.4140624999927,68.0,35,high,0.038081571958615945,0.0374442502667517,-0.28922314045003167,-0.2849099014459418,-0.13119227657717764,-0.12569467475557422,15.0,35.0,30.0,20.0,-5.0,15.0,10.408329997330664,0.3061273528626666,0.22613196423438403,-0.12569467475557422
5139,1,419217,1,"Private, for-profit",29.0,25.740254,-80.213971,11,-2,1.0,23406.0,,2,27.0,1,open,10.927035001141991,10.953187,"Practical Nursing, Vocational Nursing and Nursing Assistants.",HCA Florida Mercy Hospital School of Practical Nursing,55661.00000000003,57135.844,-1474.843749999971,68692.99999999996,11.13740258073377,68824.734,11.139318,-131.73437500004366,38,31784.000000000004,10.366718297494435,41750.84,10.639475,-9966.839843749996,52.0,35,high,-0.2387219007102682,-0.2332672488190986,-0.0019140556980906424,-0.0018504504704074947,-0.025812933759291355,-0.024689015424440842,34.0,24.0,22.0,-10.0,-2.0,-12.0,6.429100507328636,0.18909119139201871,0.22613196423438403,-0.024689015424440842
