code,title,unit_id,distance,school.type,credential.level,earnings.4_yr.overall_median_earnings,earnings.4_yr.working_not_enrolled.overall_count,id,school.name,latest.school.locale,latest.school.carnegie_size_setting,latest.admissions.admission_rate.overall,latest.student.demographics.median_family_income,latest.student.students_with_pell_grant,latest.school.open_admissions_policy,latest.student.demographics.age_entry,latest.school.title_iv.eligibility_type
4706,Vehicle Maintenance and Repair Technologies/Technicians.,132693,1,Public,1,68047,28,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
4805,Precision Metal Working.,132693,1,Public,1,50029,18,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
5106,Dental Support Services and Allied Professions.,132693,1,Public,2,69083,16,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
5108,Allied Health and Medical Assisting Services.,132693,1,Public,2,53597,19,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132693,1,Public,1,62988,39,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132693,1,Public,2,54622,55,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
5110,Clinical/Medical Laboratory Science/Research and Allied Professions.,132693,1,Public,2,67936,20,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
5122,Public Health.,132693,1,Public,3,53408,49,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132693,2,Public,2,77667,106,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",132693,1,Public,1,43973,18,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
5202,"Business Administration, Management and Operations.",132693,1,Public,2,42613,28,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
5202,"Business Administration, Management and Operations.",132693,3,Public,3,54133,286,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
1101,"Computer and Information Sciences, General.",132709,2,Public,3,68626,32,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
1310,Special Education and Teaching.,132709,1,Public,3,59330,21,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
2203,Legal Support Services.,132709,1,Public,2,48911,21,132709,Broward College,12,15,,20743,0.9264472291,1,24,1
