code,title,unit_id,distance,credential.level,repayment.1_yr_bb_fed_comp.count,earnings.1_yr.working_not_enrolled.overall_count,earnings.1_yr.not_working_not_enrolled.overall_count,debt.staff_grad_plus.all.eval_inst.median_payment,id,school.name,latest.academics.program_reporter.programs_offered,latest.academics.program_percentage.agriculture,latest.academics.program_percentage.resources,latest.academics.program_percentage.architecture,latest.academics.program_percentage.ethnic_cultural_gender,latest.academics.program_percentage.communication,latest.academics.program_percentage.communications_technology,latest.academics.program_percentage.computer,latest.academics.program_percentage.personal_culinary,latest.academics.program_percentage.education,latest.academics.program_percentage.engineering,latest.academics.program_percentage.engineering_technology,latest.academics.program_percentage.language,latest.academics.program_percentage.family_consumer_science,latest.academics.program_percentage.legal,latest.academics.program_percentage.english,latest.academics.program_percentage.humanities,latest.academics.program_percentage.library,latest.academics.program_percentage.biological,latest.academics.program_percentage.mathematics,latest.academics.program_percentage.military,latest.academics.program_percentage.multidiscipline,latest.academics.program_percentage.parks_recreation_fitness,latest.academics.program_percentage.philosophy_religious,latest.academics.program_percentage.theology_religious_vocation,latest.academics.program_percentage.physical_science,latest.academics.program_percentage.science_technology,latest.academics.program_percentage.psychology,latest.academics.program_percentage.security_law_enforcement,latest.academics.program_percentage.public_administration_social_service,latest.academics.program_percentage.social_science,latest.academics.program_percentage.construction,latest.academics.program_percentage.mechanic_repair_technology,latest.academics.program_percentage.precision_production,latest.academics.program_percentage.transportation,latest.academics.program_percentage.visual_performing,latest.academics.program_percentage.health,latest.academics.program_percentage.business_marketing,latest.academics.program_percentage.history,latest.school.instructional_expenditure_per_fte,latest.school.faculty_salary,latest.school.ft_faculty_rate,latest.student.demographics.student_faculty_ratio,latest.school.endowment.begin,latest.school.endowment.end,latest.school.dolflag,latest.admissions.admission_rate.overall,latest.school.open_admissions_policy
5202,"Business Administration, Management and Operations.",132471,2,3,156.0,138.0,11.0,322.0,132471,Barry University,,0,0,0,0,0.0366,0,0.0539,0,0.0173,0,0,0,0,0.0077,0.0019,0.0135,0,0.1522,0.0019,0,0,0.0405,0.0019,0.0019,0.0096,0,0.0636,0.0289,0.0829,0.0385,0,0,0,0,0.0366,0.2216,0.1888,0,11546,8861,0.283,7,53988781,58752320,0,0.7724,2
5202,"Business Administration, Management and Operations.",132471,2,5,88.0,124.0,7.0,466.0,132471,Barry University,,0,0,0,0,0.0366,0,0.0539,0,0.0173,0,0,0,0,0.0077,0.0019,0.0135,0,0.1522,0.0019,0,0,0.0405,0.0019,0.0019,0.0096,0,0.0636,0.0289,0.0829,0.0385,0,0,0,0,0.0366,0.2216,0.1888,0,11546,8861,0.283,7,53988781,58752320,0,0.7724,2
0901,Communication and Media Studies.,132602,1,3,49.0,,1.0,,132602,Bethune-Cookman University,,0,0.0034,0,0,0.1,0,0.0207,0,0.031,0.0138,0,0,0,0,0.0069,0.2207,0,0.0448,0.0034,0,0.0138,0.1,0,0,0,0,0.1414,0.0793,0,0.031,0,0,0,0,0.0172,0.0138,0.1586,0,11053,7167,0.76,17,36303752,41110832,1,0.8824,2
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132602,1,3,42.0,,0.0,,132602,Bethune-Cookman University,,0,0.0034,0,0,0.1,0,0.0207,0,0.031,0.0138,0,0,0,0,0.0069,0.2207,0,0.0448,0.0034,0,0.0138,0.1,0,0,0,0,0.1414,0.0793,0,0.031,0,0,0,0,0.0172,0.0138,0.1586,0,11053,7167,0.76,17,36303752,41110832,1,0.8824,2
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132602,1,3,101.0,36.0,2.0,329.0,132602,Bethune-Cookman University,,0,0.0034,0,0,0.1,0,0.0207,0,0.031,0.0138,0,0,0,0,0.0069,0.2207,0,0.0448,0.0034,0,0.0138,0.1,0,0,0,0,0.1414,0.0793,0,0.031,0,0,0,0,0.0172,0.0138,0.1586,0,11053,7167,0.76,17,36303752,41110832,1,0.8824,2
3011,Gerontology.,132602,1,3,24.0,,,,132602,Bethune-Cookman University,,0,0.0034,0,0,0.1,0,0.0207,0,0.031,0.0138,0,0,0,0,0.0069,0.2207,0,0.0448,0.0034,0,0.0138,0.1,0,0,0,0,0.1414,0.0793,0,0.031,0,0,0,0,0.0172,0.0138,0.1586,0,11053,7167,0.76,17,36303752,41110832,1,0.8824,2
4201,"Psychology, General.",132602,1,3,87.0,,1.0,,132602,Bethune-Cookman University,,0,0.0034,0,0,0.1,0,0.0207,0,0.031,0.0138,0,0,0,0,0.0069,0.2207,0,0.0448,0.0034,0,0.0138,0.1,0,0,0,0,0.1414,0.0793,0,0.031,0,0,0,0,0.0172,0.0138,0.1586,0,11053,7167,0.76,17,36303752,41110832,1,0.8824,2
4301,Criminal Justice and Corrections.,132602,1,3,63.0,,1.0,,132602,Bethune-Cookman University,,0,0.0034,0,0,0.1,0,0.0207,0,0.031,0.0138,0,0,0,0,0.0069,0.2207,0,0.0448,0.0034,0,0.0138,0.1,0,0,0,0,0.1414,0.0793,0,0.031,0,0,0,0,0.0172,0.0138,0.1586,0,11053,7167,0.76,17,36303752,41110832,1,0.8824,2
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132602,1,3,,,0.0,,132602,Bethune-Cookman University,,0,0.0034,0,0,0.1,0,0.0207,0,0.031,0.0138,0,0,0,0,0.0069,0.2207,0,0.0448,0.0034,0,0.0138,0.1,0,0,0,0,0.1414,0.0793,0,0.031,0,0,0,0,0.0172,0.0138,0.1586,0,11053,7167,0.76,17,36303752,41110832,1,0.8824,2
5202,"Business Administration, Management and Operations.",132602,1,3,45.0,,0.0,,132602,Bethune-Cookman University,,0,0.0034,0,0,0.1,0,0.0207,0,0.031,0.0138,0,0,0,0,0.0069,0.2207,0,0.0448,0.0034,0,0.0138,0.1,0,0,0,0,0.1414,0.0793,0,0.031,0,0,0,0,0.0172,0.0138,0.1586,0,11053,7167,0.76,17,36303752,41110832,1,0.8824,2
