code,title,unit_id,distance,school.type,credential.level,earnings.1_yr.overall_median_earnings,earnings.1_yr.working_not_enrolled.overall_count,earnings.4_yr.overall_median_earnings,earnings.4_yr.working_not_enrolled.overall_count,earnings.5_yr.overall_median_earnings,earnings.5_yr.working_not_enrolled.overall_count,id,school.name,location.lat,location.lon,latest.school.locale,latest.school.carnegie_size_setting,latest.admissions.admission_rate.overall,latest.student.demographics.median_family_income,latest.student.students_with_pell_grant,latest.school.open_admissions_policy,latest.student.demographics.age_entry,latest.school.title_iv.eligibility_type
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",132693,1,Public,1,,,43973,18,48932.0,29.0,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
5202,"Business Administration, Management and Operations.",132693,1,Public,2,,,42613,28,33605.0,77.0,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
5202,"Business Administration, Management and Operations.",132693,3,Public,3,42854.0,318.0,54133,286,50389.0,94.0,132693,Eastern Florida State College,28.170002,-80.670781,13,12,,22005,0.8466486121,1,25,1
1101,"Computer and Information Sciences, General.",132709,2,Public,3,52497.0,37.0,68626,32,71656.0,28.0,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
1310,Special Education and Teaching.,132709,1,Public,3,49262.0,16.0,59330,21,53145.0,20.0,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
2203,Legal Support Services.,132709,1,Public,2,,,48911,21,47543.0,18.0,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132709,2,Public,2,28775.0,488.0,44117,1403,42236.0,1610.0,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
4301,Criminal Justice and Corrections.,132709,2,Public,2,34607.0,18.0,44829,30,44288.0,35.0,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
4901,Air Transportation.,132709,2,Public,2,,,75637,24,61594.0,17.0,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
5108,Allied Health and Medical Assisting Services.,132709,1,Public,2,,,38252,19,58288.0,23.0,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132709,1,Public,1,45720.0,19.0,79695,35,,,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132709,1,Public,2,65396.0,60.0,75879,66,67079.0,73.0,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132709,0,Public,99,,,67251,18,,,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132709,1,Public,2,72991.0,69.0,83358,103,87122.0,100.0,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
5202,"Business Administration, Management and Operations.",132709,2,Public,2,50374.0,28.0,49180,59,50228.0,87.0,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
5202,"Business Administration, Management and Operations.",132709,2,Public,3,48880.0,106.0,61029,129,55611.0,138.0,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
5203,Accounting and Related Services.,132709,2,Public,2,36970.0,17.0,48605,18,41364.0,43.0,132709,Broward College,26.119422,-80.14183,12,15,,20743,0.9264472291,1,24,1
4228,"Clinical, Counseling and Applied Psychology.",132842,2,"Private, nonprofit",5,,,51235,49,52700.0,80.0,132842,Albizu University-Miami,25.795181,-80.354942,13,6,0.7571,16091,0.4821052632,2,26,1
4228,"Clinical, Counseling and Applied Psychology.",132842,1,"Private, nonprofit",6,64380.0,88.0,93578,113,77562.0,58.0,132842,Albizu University-Miami,25.795181,-80.354942,13,6,0.7571,16091,0.4821052632,2,26,1
0105,Agricultural and Domestic Animal Services.,132851,1,Public,2,,,30374,20,,,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
0105,Agricultural and Domestic Animal Services.,132851,0,Public,99,,,33961,17,,,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
1101,"Computer and Information Sciences, General.",132851,0,Public,99,,,40428,19,,,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
1105,Computer Systems Analysis.,132851,0,Public,99,,,46213,20,,,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",132851,1,Public,3,48537.0,21.0,52015,16,48788.0,25.0,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132851,3,Public,2,24017.0,300.0,42066,690,38269.0,493.0,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
4103,Physical Science Technologies/Technicians.,132851,0,Public,99,,,69253,45,,,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
4301,Criminal Justice and Corrections.,132851,0,Public,99,,,52150,57,,,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
5107,Health and Medical Administrative Services.,132851,0,Public,99,,,46953,44,,,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132851,1,Public,2,53438.0,22.0,63119,25,52109.0,26.0,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132851,0,Public,99,,,50312,44,,,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132851,1,Public,2,70021.0,82.0,75665,95,84799.0,65.0,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132851,1,Public,3,78006.0,61.0,93193,48,112178.0,17.0,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
5202,"Business Administration, Management and Operations.",132851,1,Public,2,32665.0,22.0,32335,41,38264.0,43.0,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
5202,"Business Administration, Management and Operations.",132851,1,Public,3,40202.0,179.0,51258,181,46695.0,136.0,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
5202,"Business Administration, Management and Operations.",132851,0,Public,99,,,40768,131,,,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
5204,Business Operations Support and Assistant Services.,132851,0,Public,99,,,43057,103,,,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
5207,Entrepreneurial and Small Business Operations.,132851,0,Public,99,,,30039,33,,,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
5212,Management Information Systems and Services.,132851,0,Public,99,,,33676,22,,,132851,College of Central Florida,29.166079,-82.175692,13,12,,21993,0.8733662504,1,24,1
0402,Architecture.,132903,1,Public,3,37389.0,34.0,64826,24,,,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
0901,Communication and Media Studies.,132903,2,Public,3,37021.0,403.0,58783,178,48282.0,115.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
0904,Journalism.,132903,1,Public,3,40945.0,55.0,60887,32,,,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
0907,"Radio, Television, and Digital Communication.",132903,1,Public,3,27148.0,97.0,48753,54,49868.0,53.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
0909,"Public Relations, Advertising, and Applied Communication.",132903,1,Public,3,37388.0,143.0,62140,72,58523.0,47.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1101,"Computer and Information Sciences, General.",132903,1,Public,3,68793.0,546.0,98526,302,89759.0,113.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1101,"Computer and Information Sciences, General.",132903,1,Public,5,72439.0,52.0,123587,36,,,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1301,"Education, General.",132903,1,Public,6,74102.0,24.0,81030,24,,,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1304,Educational Administration and Supervision.,132903,1,Public,5,53284.0,143.0,63413,79,58061.0,53.0,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1305,Educational/Instructional Media Design.,132903,3,Public,5,62483.0,28.0,78410,23,,,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1310,Special Education and Teaching.,132903,0,Public,4,,,62470,16,,,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
1310,Special Education and Teaching.,132903,2,Public,5,58479.0,35.0,60920,30,,,132903,University of Central Florida,28.602159,-81.200889,21,15,0.4011,31400,0.7045342864,2,23,1
