program_percentage_resources,program_percentage_architecture,program_percentage_ethnic_cultural_gender,program_percentage_communication,program_percentage_communications_technology,program_percentage_computer,program_percentage_personal_culinary,program_percentage_education,program_percentage_engineering,program_percentage_engineering_technology,program_percentage_language,program_percentage_family_consumer_science,program_percentage_legal,program_percentage_english,program_percentage_humanities,program_percentage_library,program_percentage_biological,program_percentage_mathematics,program_percentage_military,program_percentage_multidiscipline,program_percentage_parks_recreation_fitness,program_percentage_philosophy_religious,program_percentage_theology_religious_vocation,program_percentage_physical_science,program_percentage_science_technology,program_percentage_psychology,program_percentage_security_law_enforcement,program_percentage_public_administration_social_service,program_percentage_social_science,program_percentage_construction,program_percentage_mechanic_repair_technology,program_percentage_precision_production,program_percentage_transportation,program_percentage_visual_performing,program_percentage_health,program_percentage_business_marketing,program_percentage_history,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,program_reporter_programs_offered,student_faculty_ratio,endowment_begin,endowment_end,dolflag,school_name,unit_id,has_endowment
0.0545,0.0,0.0,0.0773,0.0,0.0,0.0,0.0808,0.0,0.0,0.0018,0.0,0.0,0.0316,0.0018,0.0,0.0,0.0035,0.0,0.0141,0.0422,0.0018,0.0,0.0,0.0,0.116,0.0,0.0264,0.1301,0.0,0.0,0.0,0.0,0.1213,0.0,0.2724,0.0246,10177.0,7796.0,0.4865,,15.0,87754970.0,94777008.0,0.0,Flagler College,133711,1
0.0,0.0,0.0,0.0432,0.0,0.0,0.0,0.0541,0.0,0.0,0.0,0.0,0.0,0.0216,0.5622,0.0,0.0,0.0,0.0,0.0,0.0486,0.0,0.0324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324,0.0919,0.1027,0.0108,15747.0,7129.0,1.0,,14.0,17258701.0,16231128.0,0.0,Florida College,133809,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12867.0,6365.0,0.5795,12.0,16.0,,,1.0,Concorde Career Institute-Jacksonville,133845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15067.0,5713.0,0.7358,12.0,19.0,,,1.0,Concorde Career Institute-Miramar,133854,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11570.0,5938.0,0.7273,10.0,24.0,,,1.0,Concorde Career Institute-Tampa,133863,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9639,0.0,0.0,12856.0,8875.0,0.9764,,6.0,11241909.0,11811829.0,0.0,AdventHealth University,133872,1
0.0104,0.0,0.0,0.0075,0.0,0.0522,0.0,0.0,0.3756,0.0104,0.0,0.0,0.0045,0.0,0.003,0.0,0.07,0.0075,0.0,0.0045,0.0089,0.0,0.0,0.0686,0.0,0.0551,0.0,0.0,0.0,0.0,0.0,0.0,0.228,0.0,0.0,0.0924,0.0,11908.0,11366.0,0.7554,,13.0,96580299.0,105961895.0,1.0,Florida Institute of Technology,133881,1
0.0028,0.0,0.0039,0.0519,0.0,0.0748,0.0,0.037,0.0549,0.0088,0.0071,0.0,0.0,0.0153,0.0339,0.0,0.0869,0.0031,0.0,0.0487,0.0058,0.0021,0.0,0.0083,0.0,0.1312,0.0478,0.0092,0.0566,0.0,0.0,0.0,0.0,0.0174,0.0524,0.2331,0.007,8518.0,11817.0,0.9761,,24.0,306631350.0,337735286.0,0.0,Florida International University,133951,1
0.0553,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1957,0.0,0.0,0.0,0.0,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.0723,0.0,0.0,0.0,0.0936,0.0,0.0681,0.0,0.3106,0.1787,0.0,10363.0,7266.0,0.211,,12.0,5687682.0,7040320.0,1.0,The College of the Florida Keys,133960,1
0.0,0.0,0.0,0.0183,0.0,0.055,0.0,0.0459,0.0,0.0,0.0,0.0,0.0183,0.0,0.0,0.0,0.0459,0.0,0.0,0.0183,0.0,0.0092,0.0,0.0092,0.0,0.156,0.1009,0.055,0.0183,0.0,0.0,0.0,0.1009,0.0367,0.0642,0.2477,0.0,3701.0,7615.0,0.6923,,17.0,6253204.0,7258273.0,0.0,Florida Memorial University,133979,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3050.0,,,1.0,4.0,,,1.0,Florida School of Massage,134024,0
0.0145,0.0,0.0,0.0644,0.0,0.037,0.0,0.0548,0.0,0.0,0.0,0.0,0.0,0.0209,0.0032,0.0,0.1787,0.0225,0.0,0.0016,0.0177,0.0064,0.0,0.0048,0.0,0.0853,0.0,0.0,0.0548,0.0,0.0,0.0,0.0,0.1111,0.066,0.2464,0.0048,11211.0,9031.0,1.0,,11.0,107580305.0,130587373.0,0.0,Florida Southern College,134079,1
0.0163,0.0,0.0008,0.0322,0.0,0.0436,0.0,0.0188,0.0436,0.0,0.0068,0.0265,0.0,0.0269,0.0234,0.0,0.082,0.0098,0.0,0.0006,0.0188,0.0034,0.0,0.0083,0.0,0.0822,0.0583,0.0072,0.1428,0.0,0.0,0.0,0.0,0.0345,0.0776,0.2265,0.0089,13724.0,12841.0,0.8398,,17.0,947008761.0,1029931070.0,0.0,Florida State University,134097,1
0.0208,0.0117,0.0031,0.0598,0.0,0.0457,0.0,0.0182,0.1401,0.0109,0.014,0.0061,0.0,0.0136,0.0103,0.0,0.1032,0.0195,0.0,0.0345,0.0285,0.0048,0.0,0.0229,0.0,0.0563,0.0042,0.0,0.1025,0.0,0.0,0.0,0.0,0.0344,0.0686,0.125,0.0111,23406.0,13581.0,0.8959,,16.0,2334070000.0,2448293000.0,1.0,University of Florida,134130,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,,,2.0,7.0,,,0.0,Fort Pierce Beauty Academy,134228,0
0.0,0.0,0.0,0.032,0.1818,0.0636,0.0,0.0,0.0249,0.0744,0.0,0.0,0.0,0.0553,0.0,0.0,0.0,0.0,0.0,0.1156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4321,0.0,0.0202,0.0,4330.0,5970.0,0.9096,,32.0,,,0.0,Full Sail University,134237,0
0.0,0.0,0.0,0.0,0.0,0.1163,0.0897,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3189,0.0,0.0,0.0997,0.186,0.103,0.0,0.0,0.0698,0.0066,0.0,10059.0,,,27.0,21.0,,,1.0,George Stone Technical College,134291,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4610.0,,,3.0,20.0,,,0.0,George T Baker Aviation Technical College,134307,0
0.0,0.002,0.0,0.0109,0.004,0.0227,0.0257,0.003,0.0,0.0296,0.0,0.0059,0.0,0.0,0.3804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0069,0.0,0.003,0.3844,0.0385,0.0,8060.0,6004.0,0.6015,,22.0,35494030.0,36823143.0,1.0,Gulf Coast State College,134343,1
0.0011,0.0012,0.0,0.0055,0.0038,0.0401,0.0065,0.0041,0.0,0.0161,0.0,0.0043,0.0078,0.0,0.3722,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0024,0.0,0.0489,0.0,0.0,0.0097,0.0093,0.0094,0.0,0.0024,0.3734,0.0772,0.0,4103.0,7844.0,0.3697,,23.0,6635664.0,7338785.0,1.0,Hillsborough Community College,134495,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,15377.0,3395.0,0.5556,,5.0,2749040.0,2824040.0,0.0,Hobe Sound Bible College,134510,1
0.0,0.0,0.0,0.0,0.0,0.0,0.8946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1054,0.0,0.0,3034.0,,,9.0,25.0,,,0.0,Hollywood Institute of Beauty Careers,134529,0
0.0,0.0,0.0,0.0,0.0,0.0,0.6341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3659,0.0,0.0,4201.0,,,4.0,20.0,,,0.0,Cortiva Institute,134574,0
