code,title,unit_id,distance,school_type,credential_level,school_city,location_lat,location_lon,locale,carnegie_size_setting,median_family_income,students_with_pell_grant,age_entry,title_iv_eligibility_type,actual,pred,school_name,4_yr_working_count,error,school_count,confidence,pct_error,score
4201,"Psychology, General.",132657,2,"Private, nonprofit",3,Boca Raton,26.385985,-80.122806,13,11,41024.0,0.604197901,21.0,1,47373.0,49902.97,Lynn University,25,-2529.96875,29,high,-0.050697760341162065,-0.04815756615250354
4301,Criminal Justice and Corrections.,132657,2,"Private, nonprofit",3,Boca Raton,26.385985,-80.122806,13,11,41024.0,0.604197901,21.0,1,68824.0,49385.688,Lynn University,21,19438.3125,23,high,0.3936021443459707,0.3696644149792441
5202,"Business Administration, Management and Operations.",132657,3,"Private, nonprofit",3,Boca Raton,26.385985,-80.122806,13,11,41024.0,0.604197901,21.0,1,72801.99999999996,58893.453,Lynn University,22,13908.546874999956,58,high,0.23616456731581667,0.2225213609587667
5202,"Business Administration, Management and Operations.",132657,2,"Private, nonprofit",5,Boca Raton,26.385985,-80.122806,13,11,41024.0,0.604197901,21.0,1,77698.99999999994,81150.29,Lynn University,247,-3451.289062500058,35,high,-0.04252959665789925,-0.04237995754190527
5211,International Business.,132657,2,"Private, nonprofit",3,Boca Raton,26.385985,-80.122806,13,11,41024.0,0.604197901,21.0,1,74456.00000000004,51274.79,Lynn University,23,23181.210937500044,7,medium,0.4520976363109742,0.42723695709779685
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",132675,1,Public,1,Starke,29.952308,-82.117224,32,-2,17719.0,,29.0,1,52814.999999999985,48095.035,North Florida Technical College,24,4719.964843749985,47,high,0.09813829698670302,0.09299156040418362
1104,Information Science/Studies.,132693,1,Public,3,Melbourne,28.170002,-80.670781,13,12,22005.0,0.8466486121,25.0,1,70868.99999999997,68314.086,Eastern Florida State College,43,2554.914062499971,5,low,0.03739952057380144,0.036389059141081474
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132693,1,Public,2,Melbourne,28.170002,-80.670781,13,12,22005.0,0.8466486121,25.0,1,42427.999999999985,42475.96,Eastern Florida State College,1032,-47.96093750001455,36,high,-0.001129131311957492,-0.0011283658112496882
4301,Criminal Justice and Corrections.,132693,1,Public,1,Melbourne,28.170002,-80.670781,13,12,22005.0,0.8466486121,25.0,1,56068.000000000015,57619.953,Eastern Florida State College,68,-1551.9531249999854,19,high,-0.02693430037392078,-0.02650690363018543
4302,Fire Protection.,132693,1,Public,1,Melbourne,28.170002,-80.670781,13,12,22005.0,0.8466486121,25.0,1,55413.999999999956,64780.95,Eastern Florida State College,23,-9366.949218750044,6,medium,-0.144594195233541,-0.13664301474712945
4706,Vehicle Maintenance and Repair Technologies/Technicians.,132693,1,Public,1,Melbourne,28.170002,-80.670781,13,12,22005.0,0.8466486121,25.0,1,68047.00000000004,49801.227,Eastern Florida State College,28,18245.773437500044,24,high,0.36637196906389036,0.35021112236129426
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132693,1,Public,1,Melbourne,28.170002,-80.670781,13,12,22005.0,0.8466486121,25.0,1,62987.99999999998,58725.195,Eastern Florida State College,39,4262.804687499978,22,high,0.07258902528660667,0.07039438542426459
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132693,1,Public,2,Melbourne,28.170002,-80.670781,13,12,22005.0,0.8466486121,25.0,1,54621.99999999998,68198.74,Eastern Florida State College,55,-13576.742187500022,39,high,-0.19907613765329052,-0.19503174430805148
5110,Clinical/Medical Laboratory Science/Research and Allied Professions.,132693,1,Public,2,Melbourne,28.170002,-80.670781,13,12,22005.0,0.8466486121,25.0,1,67936.00000000004,54964.46,Eastern Florida State College,20,12971.539062500044,4,low,0.23599865879245063,0.22085468657207413
